year,month,state,incidences
2021,5,Sachsen-Anhalt,91.65188617107276
2021,6,Sachsen-Anhalt,9.19364100606676
2021,7,Sachsen-Anhalt,2.8819196761400385
2021,8,Sachsen-Anhalt,12.253363328892627
2021,9,Sachsen-Anhalt,33.429326439408705
2021,10,Sachsen-Anhalt,79.4817981269396
2021,11,Sachsen-Anhalt,460.912888753256
2021,12,Sachsen-Anhalt,715.1993737460658
2022,1,Sachsen-Anhalt,417.7980518728589
2022,2,Sachsen-Anhalt,1579.8575427973194
2022,3,Sachsen-Anhalt,2028.7643837793248
2022,4,Sachsen-Anhalt,1008.3732357021826
2022,5,Sachsen-Anhalt,305.97867620343163
2022,6,Sachsen-Anhalt,263.24269230006826
2022,7,Sachsen-Anhalt,498.70296513399154
2022,8,Sachsen-Anhalt,295.8815479263465
2022,9,Sachsen-Anhalt,260.69035439081256
2022,10,Sachsen-Anhalt,605.4128072599631
2022,11,Sachsen-Anhalt,239.0945946215894
2022,12,Sachsen-Anhalt,220.83415871284845
2023,1,Sachsen-Anhalt,117.54489466402278
2020,3,Thüringen,7.706338867544172
2020,4,Thüringen,16.04972284433207
2020,5,Thüringen,8.517049387551795
2020,6,Thüringen,2.9715854783675697
2020,7,Thüringen,1.1655875778222824
2020,8,Thüringen,2.6967597108932866
2020,9,Thüringen,5.03588900748887
2020,10,Thüringen,26.482700439418867
2020,11,Thüringen,108.78057670570983
2020,12,Thüringen,259.1306157592672
2021,1,Thüringen,254.02313948321915
2021,2,Thüringen,130.76951893034305
2021,3,Thüringen,188.63551193837785
2021,4,Thüringen,240.37755574133237
2021,5,Thüringen,136.1993673612809
2021,6,Thüringen,16.117689958996866
2021,7,Thüringen,4.350303243210724
2021,8,Thüringen,12.56754270260876
2021,9,Thüringen,50.19766575638151
2021,10,Thüringen,166.37768405794208
2021,11,Thüringen,626.2885102857164
2021,12,Thüringen,848.4223259703941
2022,1,Thüringen,338.7225034716383
2022,2,Thüringen,1014.2770908169132
2022,3,Thüringen,1991.0667960764608
2022,4,Thüringen,1121.2882644976623
2022,5,Thüringen,200.355632701205
2022,6,Thüringen,169.6949177510978
2022,7,Thüringen,375.15246902730166
2022,8,Thüringen,222.153038191976
2022,9,Thüringen,239.05456795122936
2022,10,Thüringen,485.721146816417
2022,11,Thüringen,153.50135752456814
2022,12,Thüringen,118.81651009832495
2023,1,Thüringen,81.07175798960424
